uid;civilite;nom;prenom;fonction;telephone;mail;etage;uoAffectation;codeImmeubleEmplacementCollaborateur;region;codeRegion;niveauTerritoire;codeTerritoire;niveauEntite;codeEntite;niveauAgence;codeAgence;localisationCollaborateur;pj;aMigrer
148348;M.;nom_005;Prenom_005;ASSISTANT CLIENT BANQUE PRIVEE;04 99 52 42 82;nom_005.Prenom_005@bnpparibas.com;6;13240984;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674T10;APPUI COMMERCIAL CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674Z18;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
121396;Mme;nom_006;Prenom_006;ASSISTANT CLIENT BANQUE PRIVEE;04 68 35 78 16;nom_006.Prenom_006@bnpparibas.com;1;13272608;100177;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674T40;APPUI COMMERCIAL CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674Z98;29 RUE VAUBAN 66000 PERPIGNAN;cs;OUI
138258;Mme;nom_007;Prenom_007;ASSISTANT CLIENT BANQUE PRIVEE;04 68 35 78 17;nom_007.Prenom_007@bnpparibas.com;1;13272608;100177;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674T40;APPUI COMMERCIAL CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674Z98;29 RUE VAUBAN 66000 PERPIGNAN;cs;OUI
d33069;M.;nom_008;Prenom_008;COLLABORATEUR EN FORMATION;-;nom_008.Prenom_008@bnpparibas.com;6;13240983;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674T10;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674Z19;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
225401;M.;nom_009;Prenom_009;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;04 68 90 36 63;nom_009.Prenom_009@bnpparibas.com;0;13240989;100952;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 3;08674T30;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 3;08674Z39;50 RUE JEAN JAURES 11101 NARBONNE CEDEX;cs;OUI
288255;Mme;nom_010;Prenom_010;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;04 99 52 42 86;nom_010.Prenom_010@bnpparibas.com;6;13240983;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674T10;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674Z19;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
354498;M.;nom_011;Prenom_011;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;04 99 52 42 98;nom_011.Prenom_011@bnpparibas.com;6;13240983;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674T10;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674Z19;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
798296;Mme;nom_012;Prenom_012;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;04 99 52 42 83;nom_012.Prenom_012@bnpparibas.com;6;13240983;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674T10;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674Z19;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
277788;M.;nom_013;Prenom_013;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;04 67 13 94 72;nom_013.Prenom_013@bnpparibas.com;2;13240983;106111;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674T10;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674Z19;1025 AVENUE HENRI BECQUEREL 34960 MONTPELLIER CEDEX 2;cs;OUI
112384;M.;nom_014;Prenom_014;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;04 67 13 94 78;nom_014.Prenom_014@bnpparibas.com;2;13240983;106111;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674T10;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674Z19;1025 AVENUE HENRI BECQUEREL 34960 MONTPELLIER CEDEX 2;cs;OUI
414368;M.;nom_015;Prenom_015;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;04 68 35 78 15;nom_015.Prenom_015@bnpparibas.com;1;13272607;100177;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674T40;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674Z99;29 RUE VAUBAN 66000 PERPIGNAN;cs;OUI
437054;M.;nom_016;Prenom_016;CONSEIL EN BANQUE PRIVEE GRANDES RELATIONS;04 99 52 42 88;nom_016.Prenom_016@bnpparibas.com;6;13240986;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674T20;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674Z29;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
118310;Mme;nom_017;Prenom_017;CONSEIL EN BANQUE PRIVEE GRANDES RELATIONS;04 99 52 42 97;nom_017.Prenom_017@bnpparibas.com;6;13240986;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674T20;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674Z29;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
281248;Mme;nom_018;Prenom_018;CONSEIL EN BANQUE PRIVEE PARTICULIER;04 68 90 36 79;nom_018.Prenom_018@bnpparibas.com;0;13240989;100952;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 3;08674T30;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 3;08674Z39;50 RUE JEAN JAURES 11101 NARBONNE CEDEX;cs;OUI
327175;M.;nom_019;Prenom_019;CONSEIL EN BANQUE PRIVEE PARTICULIER;04 99 52 42 89;nom_019.Prenom_019@bnpparibas.com;6;13240986;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674T20;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674Z29;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
172300;Mme;nom_020;Prenom_020;CONSEIL EN BANQUE PRIVEE PARTICULIER;04 99 52 42 92;nom_020.Prenom_020@bnpparibas.com;6;13240986;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674T20;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674Z29;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
